ID,Name,Sheltered,Ramps,Electric,Directional
A45,BLK 570/578 ANG MO KIO STREET 51,0,0,0,1
A47,BLK 562/565/560 ANG MO KIO STREET 54,0,0,0,1
A48,BLK 571/73 ANG MO KIO STREET 51,0,0,0,1
A49,BLK 555/559 ANG MO KIO STREET 54,0,0,0,1
A50,BLK 548/552/556 ANG MO KIO STREET 54,0,0,0,1
A51,BLK 252/253A ANG MO KIO STREET 21,0,0,0,1
A52,BLK 701/716 ANG MO KIO AVENUE 3/6,0,0,0,1
A53,BLK 712A ANG MO KIO AVENUE 3/6,0,0,0,1
A54,BLK 727/728 ANG MO KIO AVENUE 6,0,0,0,1
A55,BLK 729/730 ANG MO KIO AVENUE 6/8,0,0,0,1
A59,BLK 547/551 ANG MO KIO STREET 54,0,0,0,1
A60,BLK 540/546 ANG MO KIO STREET 54,0,0,0,1
A61,BLK 520/534/529 ANG MO KIO AVENUE 5/10,0,0,0,1
A61,BLK 520/534/529 ANG MO KIO AVENUE 5/10,0,0,0,1
A61,BLK 520/534/529 ANG MO KIO AVENUE 5/10,0,0,0,1
A61,BLK 520/534/529 ANG MO KIO AVENUE 5/10,0,0,0,1
A63,BLK 501/513/508 ANG MO KIO STREET 52/53,0,0,0,1
A64,BLK 584/586 ANG MO KIO STREET 51,0,0,0,1
A65,BLK 558/560 ANG MO KIO STREET 54,0,0,0,1
A66,BLK 601/604/603 ANG MO KIO AVENUE 5,0,0,0,1
A67,BLK 605/612 ANG MO KIO AVENUE 4/5,0,0,0,1
A68,BLK 620/624/626 ANG MO KIO STREET 61,0,0,0,1
A69,BLK 623/625/627 ANG MO KIO STREET 61,0,0,0,1
A70,BLK 629/626 ANG MO KIO AVENUE 4,0,0,0,1
A71,BLK 628/632 ANG MO KIO STREET 61,0,0,0,1
A72,BLK 633/640 ANG MO KIO STREET 61,0,0,0,1
A73,BLK 641/645 ANG MO KIO STREET 61,0,0,0,1
A74,BLK 646/649 ANG MO KIO STREET 61,0,0,0,1
A75,BLK 177/182 ANG MO KIO AVENUE 4,0,0,0,1
A76,BLK 613A ANG MO KIO AVENUE 4,0,0,0,1
A77,BLK 150/156 ANG MO KIO AVENUE 5,0,0,0,1
A77,BLK 150/156 ANG MO KIO AVENUE 5,0,0,0,1
A77,BLK 150/156 ANG MO KIO AVENUE 5,0,0,0,1
A78,BLK 157/163 ANG MO KIO AVENUE 4,0,0,0,1
A78,BLK 157/163 ANG MO KIO AVENUE 4,0,0,0,1
A78,BLK 157/163 ANG MO KIO AVENUE 4,0,0,0,1
A81,BLK 170/172 ANG MO KIO STREET 13,0,0,0,1
A82,BLK 173/176 ANG MO KIO AVENUE 4,0,0,0,1
A85,BLK 340 ANG MO KIO STREET 32,0,0,0,1
A87,BLK 462/463 ANG MO KIO STREET 44,0,0,0,1
A88,BLK 348 ANG MO KIO AVENUE 3,0,0,0,1
A94,BLK 104C ANG MO KIO STREET 11,0,0,0,1
A98,BLK 259 ANG MO KIO AVENUE 2,0,0,0,1
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,1,1,0,1
ACM,BLK 98A ALJUNIED CRESCENT,1,1,0,1
ACM,BLK 98A ALJUNIED CRESCENT,1,1,0,1
ACM,BLK 98A ALJUNIED CRESCENT,1,1,0,1
AH1,BLK 101 JALAN DUSUN,0,0,0,1
AR9,BLK 20/22/23 DOVER CRESCENT,0,0,0,1
AR9,BLK 20/22/23 DOVER CRESCENT,0,0,0,1
AR9,BLK 20/22/23 DOVER CRESCENT,0,0,0,1
AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,0,0,0,1
B10,BLK 404/413 BEDOK NORTH AVENUE 3,0,0,0,1
B11,BLK 416/418 BEDOK NORTH AVENUE 2,0,0,0,1
B14,BLK 412/413 BEDOK NORTH AVENUE 2,0,0,0,1
B16,"BLKS 59, 62-65 NEW UPPER CHANGI ROAD",0,0,0,1
B17,BLK 52/57 NEW UPPER CHANGI ROAD,0,0,0,1
B19,"BLK 36-44, 60 BEDOK SOUTH ROAD",0,0,0,1
B20,BLK 67/73 BEDOK SOUTH ROAD,0,0,0,1
B21,BLK 74/82 BEDOK NORTH ROAD,0,0,0,1
B24,BLK 84/89 BEDOK NORTH AVENUE 4,0,0,0,1
B25,BLK 91/97 BEDOK NORTH AVENUE 4,0,0,0,1
B26,BLK 98/100 BEDOK NORTH AVENUE 4,0,0,0,1
B27,BLK 101/106 BEDOK NORTH AVENUE 4,0,0,0,1
B28,BLK 107/110 BEDOK NORTH ROAD,0,0,0,1
B30,BLK 119/123 BEDOK NORTH STREET 2,0,0,0,1
B31,BLK 124/129 BEDOK NORTH STREET 2,0,0,0,1
B32,BLK 130/132 BEDOK NORTH STREET 2,0,0,0,1
B33,BLK 131/133 BEDOK NORTH AVENUE 3,0,0,0,1
B34,BLK 134/136 BEDOK NORTH AVENUE 3,0,0,0,1
B35,BLK 137/140 BEDOK NORTH AVENUE 3,0,0,0,1
B40,BLK 504/508 BEDOK NORTH STREET 3,0,0,0,1
B41,BLK 510 BEDOK NORTH STREET 3,0,0,0,1
B42,BLK 509/511 BEDOK NORTH STREET 3,0,0,0,1
B43,BLK 519/522 553 BEDOK NORTH AVENUE 1/2,0,0,0,1
B44,BLK 528/536 BEDOK NORTH STREET 3,0,0,0,1
B45,BLK 537/539 BEDOK NORTH STREET 3,0,0,0,1
B46,BLK 537 BEDOK NORTH STREET 3,0,0,0,1
B47,BLK 540/542 BEDOK NORTH STREET 3,0,0,0,1
B48,BLK 543/547 BEDOK NORTH STREET 3,0,0,0,1
B49,BLK 549/551 BEDOK NORTH AVENUE 1,0,0,0,1
B50,BLK 601/605 BEDOK RESERVOIR ROAD,0,0,0,1
B51,BLK 611/616 BEDOK RESERVOIR ROAD,0,0,0,1
B52,BLK 617/624 BEDOK RESERVOIR ROAD,0,0,0,1
B53,BLK 625/629 BEDOK RESERVOIR ROAD,0,0,0,1
B54,BLK 630/632 BEDOK RESERVOIR ROAD,0,0,0,1
B57,BLK 701/708 BEDOK RESERVOIR ROAD,0,0,0,1
B59,BLK 716/718/721 BEDOK RESERVOIR ROAD,0,0,0,1
B60,BLK 722/725 BEDOK RESERVOIR ROAD,0,0,0,1
B63,BLK 739/745 BEDOK RESERVOIR ROAD,0,0,0,1
B65,BLK 155/172 BEDOK SOUTH ROAD/AVENUE 3,0,0,0,1
B66,BLK 637A BEDOK RESERVOIR ROAD,1,1,0,1
B67,BLK 649A JALAN TENAGA,1,1,0,1
B69,BLK 94A BEDOK NORTH AVENUE 4,0,0,0,1
B70,BLK 201 BEDOK NORTH STREET 1,0,0,0,1
B71,BLK 29C CHAI CHEE AVENUE,1,1,0,1
B72,BLK 660A JALAN TENAGA,1,1,0,1
B73,BLK 651A JALAN TENAGA,1,1,0,1
B74,BLK 671A JALAN DAMAI,1,1,0,1
B75,BLK 613C BEDOK RESERVOIR ROAD,1,1,0,1
B79,BLK 772A BEDOK RESERVOIR VIEW,1,1,0,1
B7A,BLK 216/218 BEDOK NORTH STREET 1,0,0,0,1
B7B,BEDOK CENTRAL,0,0,0,1
B80,BLK 739A BEDOK RESERVOIR ROAD,1,1,0,1
B81,BLK 30A NEW UPPER CHANGI ROAD,1,1,0,1
B83,BLK 21A CHAI CHEE ROAD,1,1,0,1
B84,BLK 215A BEDOK CENTRAL,1,1,0,1
B85,BLK 184 BEDOK NORTH ROAD,1,1,0,1
B86,BLK 114A BEDOK NORTH STREET 2,1,1,0,1
B88,BLK 34A BED0K SOUTH AVENUE 2,1,1,0,1
B89,BLK 116A BEDOK NORTH ROAD,1,1,0,1
B8B,BLK 222 BEDOK NORTH DRIVE,1,1,0,1
B90,BLK 35A BEDOK SOUTH AVENUE 2,1,1,0,1
B91,BLK 630 BEDOK RESERVOIR ROAD,1,1,0,1
B92,BLK 2A BEDOK SOUTH AVENUE 1,1,1,0,1
B94,BLK 513A BEDOK NORTH AVENUE 2,1,1,0,1
B95,BLK 220 BEDOK CENTRAL,1,1,0,1
